Epoch,E2W_COR_FLUX
2019-02-05 09:00:00,399.00995
2019-02-05 09:01:00,389.17447
2019-02-05 09:02:00,380.4806
2019-02-05 09:03:00,387.20404
2019-02-05 09:04:00,397.73416
2019-02-05 09:05:00,374.8536
2019-02-05 09:06:00,383.8581
2019-02-05 09:07:00,386.8045
2019-02-05 09:08:00,409.54422
2019-02-05 09:09:00,389.96487
2019-02-05 09:10:00,398.55722
2019-02-05 09:11:00,398.39105
2019-02-05 09:12:00,375.46387
2019-02-05 09:13:00,363.30927
2019-02-05 09:14:00,365.32724
2019-02-05 09:15:00,363.6302
2019-02-05 09:16:00,357.90268
2019-02-05 09:17:00,343.3334
2019-02-05 09:18:00,354.6988
2019-02-05 09:19:00,363.196
2019-02-05 09:20:00,365.53683
2019-02-05 09:21:00,385.12445
2019-02-05 09:22:00,355.3854
2019-02-05 09:23:00,389.38382
2019-02-05 09:24:00,377.38034
2019-02-05 09:25:00,364.15228
2019-02-05 09:26:00,354.51465
2019-02-05 09:27:00,367.44934
2019-02-05 09:28:00,339.3131
2019-02-05 09:29:00,333.33435
2019-02-05 09:30:00,336.03052
2019-02-05 09:31:00,352.70132
2019-02-05 09:32:00,344.19022
2019-02-05 09:33:00,372.59106
2019-02-05 09:34:00,349.72916
2019-02-05 09:35:00,346.53885
2019-02-05 09:36:00,348.17728
2019-02-05 09:37:00,363.8839
2019-02-05 09:38:00,354.23514
2019-02-05 09:39:00,381.03073
2019-02-05 09:40:00,365.16443
2019-02-05 09:41:00,358.79126
2019-02-05 09:42:00,376.81863
2019-02-05 09:43:00,352.3786
2019-02-05 09:44:00,350.9184
2019-02-05 09:45:00,360.3887
2019-02-05 09:46:00,376.37485
2019-02-05 09:47:00,398.67096
2019-02-05 09:48:00,391.27145
2019-02-05 09:49:00,365.01663
2019-02-05 09:50:00,388.75098
2019-02-05 09:51:00,386.73254
2019-02-05 09:52:00,394.29944
2019-02-05 09:53:00,399.02405
2019-02-05 09:54:00,399.5327
2019-02-05 09:55:00,378.55112
2019-02-05 09:56:00,341.06058
2019-02-05 09:57:00,379.48972
2019-02-05 09:58:00,395.05133
2019-02-05 09:59:00,390.78
2019-02-05 10:00:00,398.81723
2019-02-05 10:01:00,389.4782
2019-02-05 10:02:00,418.5757
2019-02-05 10:03:00,405.77866
2019-02-05 10:04:00,410.1815
2019-02-05 10:05:00,404.3655
2019-02-05 10:06:00,423.83017
2019-02-05 10:07:00,406.88785
2019-02-05 10:08:00,427.36752
2019-02-05 10:09:00,439.87338
2019-02-05 10:10:00,442.92133
2019-02-05 10:11:00,451.21942
2019-02-05 10:12:00,463.8799
2019-02-05 10:13:00,437.5434
2019-02-05 10:14:00,468.01788
2019-02-05 10:15:00,459.79642
2019-02-05 10:16:00,452.8215
2019-02-05 10:17:00,478.58725
2019-02-05 10:18:00,493.4797
2019-02-05 10:19:00,469.0858
2019-02-05 10:20:00,482.88406
2019-02-05 10:21:00,477.8122
2019-02-05 10:22:00,467.78836
2019-02-05 10:23:00,496.9544
2019-02-05 10:24:00,476.88156
2019-02-05 10:25:00,471.58707
2019-02-05 10:26:00,485.5661
2019-02-05 10:27:00,456.35794
2019-02-05 10:28:00,486.944
